,Hogwarts House
0,0
1,3
2,0
3,3
4,3
5,2
6,3
7,1
8,3
9,3
10,1
11,3
12,1
13,2
14,1
15,3
16,3
17,1
18,0
19,3
20,2
21,3
22,3
23,3
24,2
25,2
26,3
27,3
28,3
29,0
30,0
31,0
32,0
33,1
34,3
35,3
36,3
37,0
38,2
39,0
40,2
41,0
42,0
43,0
44,0
45,3
46,1
47,2
48,2
49,1
50,1
51,3
52,3
53,2
54,2
55,2
56,2
57,1
58,3
59,3
60,3
61,2
62,3
63,3
64,0
65,1
66,0
67,2
68,3
69,3
70,1
71,0
72,3
73,0
74,2
75,3
76,0
77,2
78,0
79,3
80,1
81,2
82,3
83,3
84,3
85,1
86,1
87,0
88,0
89,0
90,1
91,1
92,3
93,3
94,3
95,3
96,1
97,2
98,0
99,2
100,2
101,3
102,2
103,2
104,1
105,3
106,0
107,0
108,0
109,2
110,2
111,3
112,0
113,1
114,1
115,3
116,2
117,2
118,2
119,0
120,0
121,0
122,1
123,3
124,3
125,2
126,2
127,2
128,0
129,1
130,3
131,1
132,2
133,3
134,0
135,3
136,2
137,1
138,3
139,3
140,3
141,0
142,2
143,0
144,0
145,3
146,2
147,3
148,2
149,2
150,0
151,0
152,0
153,3
154,3
155,0
156,0
157,1
158,0
159,3
160,0
161,3
162,1
163,0
164,3
165,3
166,2
167,1
168,2
169,1
170,3
171,3
172,0
173,2
174,2
175,0
176,0
177,3
178,0
179,3
180,2
181,0
182,0
183,1
184,1
185,2
186,3
187,2
188,3
189,0
190,0
191,3
192,3
193,2
194,0
195,3
196,3
197,2
198,2
199,3
200,0
201,1
202,3
203,0
204,3
205,3
206,0
207,1
208,3
209,1
210,0
211,1
212,3
213,0
214,2
215,1
216,1
217,2
218,1
219,0
220,0
221,0
222,3
223,2
224,3
225,2
226,0
227,0
228,3
229,0
230,2
231,3
232,3
233,3
234,3
235,3
236,1
237,3
238,3
239,0
240,3
241,3
242,0
243,0
244,1
245,1
246,1
247,3
248,0
249,0
250,3
251,2
252,0
253,3
254,1
255,3
256,2
257,3
258,3
259,2
260,1
261,2
262,1
263,3
264,3
265,3
266,3
267,2
268,0
269,2
270,2
271,2
272,1
273,0
274,1
275,0
276,3
277,3
278,1
279,0
280,2
281,2
282,0
283,0
284,1
285,2
286,0
287,0
288,3
289,3
290,3
291,0
292,0
293,2
294,0
295,2
296,3
297,0
298,3
299,3
300,0
301,3
302,0
303,3
304,1
305,1
306,3
307,3
308,3
309,0
310,0
311,3
312,3
313,0
314,2
315,0
316,3
317,2
318,2
319,3
320,0
321,3
322,2
323,0
324,0
325,3
326,2
